Transcription-Units	Sequence - coordinates of DNA region	Direction	Transcription units - promoter of operon	Sequence - coordinates of DNA region of promoter
xthA	[xthA 1,832,399 &rarr; 1,833,234]	+	xthAp	[xthAp 1,832,399]
argG	[argG 3,318,394 &rarr; 3,319,980]	+	argGp	[argGp 3,318,562]
csrB	[csrB 2,924,156 &larr; 2,924,524]	-	csrBp	[csrBp 2,924,524]
bcsABZC	[bcsABZC 3,685,700 &larr; 3,695,236]	-		
yibT	[yibT 3,776,171 &larr; 3,776,380]	-		
elaD	[elaD 2,382,713 &rarr; 2,383,924]	+		
metK	[metK 3,086,516 &rarr; 3,087,860]	+	metKp	[metKp 3,086,577]
fadE	[fadE 240,859 &larr; 243,406]	-	fadEp	[fadEp 243,406]
lgt-thyA	[lgt-thyA 2,964,320 &larr; 2,966,121]	-	lgtp	[lgtp 2,966,121]
mazEFG	[mazEFG 2,909,894 &larr; 2,911,355]	-	mazEp2	[mazEp2 2,911,355]
rpsO	[rpsO 3,311,372 &larr; 3,311,786]	-	rpsOp	[rpsOp 3,311,786]
yedP	[yedP 2,025,511 &rarr; 2,026,326]	+		
chbBCARFG	[chbBCARFG 1,816,386 &larr; 1,821,726]	-	chbBp	[chbBp 1,821,726]
gadC	[gadC 1,568,904 &larr; 1,570,489]	-		
osmB	[osmB 1,343,110 &larr; 1,343,369]	-	osmBp	[osmBp 1,343,369]
aas-lplT	[aas-lplT 2,972,669 &larr; 2,976,014]	-		
pstCAB-phoU	[pstCAB-phoU 3,906,853 &larr; 3,910,542]	-	pstCp2	[pstCp2 3,910,542]
yqiJK	[yqiJK 3,192,208 &rarr; 3,194,525]	+		
gspCDEFGHIJKLMO	[gspCDEFGHIJKLMO 3,455,527 &rarr; 3,466,220]	+	gspCp2	[gspCp2 3,455,527]
yjcE	[yjcE 4,279,980 &rarr; 4,281,629]	+		
aspU	[aspU 228,898 &rarr; 229,052]	+	aspUp	[aspUp NIL &rarr; NIL]
metZWV	[metZWV 2,947,382 &rarr; 2,947,756]	+	metZp	[metZp 2,947,382]
uvrD	[uvrD 3,997,907 &rarr; 4,000,177]	+	uvrDp1	[uvrDp1 3,997,907]
yqeG	[yqeG 2,985,847 &rarr; 2,987,076]	+		
yajQ	[yajQ 444,658 &rarr; 445,174]	+	yajQp	[yajQp 444,658]
gloB	[gloB 234,027 &larr; 234,782]	-		
eutHA	[eutHA 2,565,481 &larr; 2,568,107]	-		
fimB	[fimB 4,540,927 &rarr; 4,541,559]	+	fimBp3	[fimBp3 NIL &rarr; NIL]
mmuPM	[mmuPM 275,325 &rarr; 277,647]	+		
ybaK	[ybaK 506,603 &larr; 507,082]	-		
ralA	[ralA 1,413,556 &rarr; 1,413,734]	+	ralAp	[ralAp 1,413,556]
barA	[barA 2,915,057 &rarr; 2,917,813]	+		
yecT	[yecT 1,961,935 &rarr; 1,962,460]	+	yecTp	[yecTp 1,961,935]
tppB	[tppB 1,712,625 &rarr; 1,714,271]	+	tppBp	[tppBp 1,712,671]
clpPX	[clpPX 456,646 &rarr; 458,755]	+	clpPp2	[clpPp2 456,646]
metC	[metC 3,152,075 &rarr; 3,153,423]	+	metCp	[metCp 3,152,075]
macAB	[macAB 919,235 &rarr; 922,293]	+		
ackA-pta	[ackA-pta 2,413,470 &rarr; 2,416,891]	+		
nanR	[nanR 3,373,698 &larr; 3,374,489]	-		
yggX-mltC	[yggX-mltC 3,103,993 &rarr; 3,105,512]	+	yggXp	[yggXp 3,103,993]
cspB	[cspB 1,641,339 &larr; 1,641,715]	-	cspBp	[cspBp 1,641,715]
kdtA-coaD	[kdtA-coaD 3,808,516 &rarr; 3,810,304]	+	waaAp1	[waaAp1 3,808,516]
ydiZ	[ydiZ 1,807,400 &rarr; 1,807,690]	+		
artPIQM	[artPIQM 900,695 &larr; 903,843]	-	artPp3	[artPp3 903,843]
insZ	[insZ 1,294,426 &larr; 1,295,322]	-		
gntT	[gntT 3,546,333 &rarr; 3,547,875]	+	gntTp1	[gntTp1 3,546,405]
yebK	[yebK 1,936,652 &rarr; 1,937,521]	+		
ybaB-recR	[ybaB-recR 493,709 &rarr; 495,010]	+	ybaBp	[ybaBp 493,709]
intS	[intS 2,466,515 &rarr; 2,467,702]	+	intSp	[intSp 2,466,515]
yfaH	[yfaH 2,349,687 &rarr; 2,349,893]	+		
yecA	[yecA 1,990,954 &larr; 1,991,619]	-		
rnlB	[rnlB 2,766,707 &rarr; 2,767,355]	+	rnlBp1	[rnlBp1 2,766,707]
polA	[polA 4,046,839 &rarr; 4,049,752]	+	polAp	[polAp 4,046,940]
hlpA-lpxD-fabZ-lpxA	[hlpA-lpxD-fabZ-lpxA 200,354 &rarr; 203,348]	+	hlpAp	[hlpAp 200,455]
yjcB	[yjcB 4,274,760 &larr; 4,275,164]	-	yjcBp	[yjcBp 4,275,164]
ycdT	[ycdT 1,092,841 &rarr; 1,094,234]	+	ycdTp	[ycdTp 1,092,841]
nrfABCDEFG	[nrfABCDEFG 4,287,544 &rarr; 4,294,139]	+	nrfAp	[nrfAp 4,287,671]
cueO	[cueO 137,020 &rarr; 138,633]	+	cueOp	[cueOp 137,045]
murB-birA	[murB-birA 4,172,057 &rarr; 4,174,047]	+		
ygfZ	[ygfZ 3,041,282 &rarr; 3,042,293]	+	ygfZp	[ygfZp 3,041,282]
yccR	[yccR 1,021,083 &rarr; 1,021,767]	+	sxyp	[sxyp 1,021,083]
tusE	[tusE 1,030,339 &larr; 1,030,668]	-		
nadB	[nadB 2,710,357 &rarr; 2,712,042]	+	nadBp	[nadBp 2,710,357]
ccmABCDEFGH	[ccmABCDEFGH 2,291,358 &larr; 2,297,674]	-	ccmAp	[ccmAp NIL &larr; NIL]
creABCD	[creABCD 4,635,477 &rarr; 4,639,572]	+	creAp	[creAp 4,635,477]
rnhA	[rnhA 235,535 &larr; 236,041]	-	rnhAp	[rnhAp 236,041]
yhiN	[yhiN 3,636,208 &larr; 3,637,410]	-		
ppiA	[ppiA 3,491,725 &larr; 3,492,430]	-	ppiAp3	[ppiAp3 3,492,430]
luxS	[luxS 2,814,218 &larr; 2,815,065]	-	luxSp1	[luxSp1 2,815,065]
argU	[argU 564,638 &rarr; 564,799]	+	argUp	[argUp 564,703]
ydfH	[ydfH 1,628,326 &rarr; 1,629,038]	+	ydfHp	[ydfHp 1,628,326]
allB	[allB 539,041 &rarr; 540,508]	+	allBp1	[allBp1 539,041]
tnaAB	[tnaAB 3,888,730 &rarr; 3,891,483]	+		
insA2B2AB2-afuBC	[insA2B2AB2-afuBC 277,756 &larr; 279,875]	-		
parC	[parC 3,163,715 &larr; 3,165,973]	-		
ykgMO	[ykgMO 312,374 &larr; 312,805]	-	ykgMp	[ykgMp 312,805]
ompR-envZ	[ompR-envZ 3,534,473 &larr; 3,536,707]	-	ompRp1	[ompRp1 3,536,707]
fabI	[fabI 1,350,251 &larr; 1,351,118]	-	fabIp1	[fabIp1 1,351,118]
rluF	[rluF 4,230,354 &rarr; 4,231,226]	+		
murQP	[murQP 2,545,733 &rarr; 2,548,097]	+	murQp	[murQp 2,545,733]
ucpA	[ucpA 2,543,832 &larr; 2,544,664]	-	ucpAp1	[ucpAp1 2,544,664]
sdhCDAB	[sdhCDAB 755,177 &rarr; 758,405]	+		
pflB	[pflB 951,207 &larr; 953,641]	-	pflBp2	[pflBp2 953,641]
fadL	[fadL 2,461,013 &rarr; 2,462,646]	+	fadLp	[fadLp 2,461,205]
yacL	[yacL 134,339 &rarr; 134,750]	+	yacLp	[yacLp 134,339]
arpA	[arpA 4,220,301 &larr; 4,222,487]	-		
galET	[galET 789,983 &larr; 792,086]	-	galEp2	[galEp2 792,086]
bolA	[bolA 454,386 &rarr; 454,865]	+	bolAp1	[bolAp1 454,434]
omrB	[omrB 2,976,304 &larr; 2,976,385]	-	omrBp	[omrBp 2,976,385]
fadBA	[fadBA 4,027,609 &larr; 4,031,013]	-	fadBp	[fadBp 4,031,013]
ybfF	[ybfF 712,038 &larr; 712,802]	-		
rrsB-gltT-rrlB-rrfB	[rrsB-gltT-rrlB-rrfB 4,166,484 &rarr; 4,171,962]	+	rrsBp2	[rrsBp2 4,166,484]
ydgD	[ydgD 1,671,960 &rarr; 1,672,781]	+		
hypF	[hypF 2,835,173 &larr; 2,838,105]	-	hypFp3	[hypFp3 2,838,105]
yncH	[yncH 1,526,940 &rarr; 1,527,152]	+		
gpmM-envC-yibQ	[gpmM-envC-yibQ 3,785,235 &rarr; 3,789,060]	+	gpmMp1	[gpmMp1 3,785,235]
yebB	[yebB 1,946,144 &rarr; 1,946,853]	+	yebBp2	[yebBp2 1,946,144]
patA	[patA 3,219,202 &rarr; 3,220,873]	+	patAp2	[patAp2 3,219,458]
narZYWV	[narZYWV 1,535,937 &larr; 1,542,590]	-		
nanY	[nanY 4,505,266 &rarr; 4,506,405]	+	nanYp1	[nanYp1 4,505,266]
ybdL	[ybdL 633,586 &rarr; 634,746]	+		
rutR	[rutR 1,074,134 &rarr; 1,074,880]	+	rutRp1	[rutRp1 1,074,134]
yghB	[yghB 3,153,529 &rarr; 3,154,222]	+	yghBp	[yghBp 3,153,529]
dam-rpe-gph-trpS	[dam-rpe-gph-trpS 3,512,634 &larr; 3,515,982]	-	damp2	[damp2 3,515,982]
btuE	[btuE 1,793,558 &larr; 1,794,124]	-	btuEp1	[btuEp1 1,794,124]
rhaBAD	[rhaBAD 4,093,448 &larr; 4,097,472]	-	rhaBp	[rhaBp 4,097,472]
cirA	[cirA 2,244,778 &larr; 2,246,942]	-	cirAp2	[cirAp2 2,246,942]
deoCABD	[deoCABD 4,616,391 &rarr; 4,621,659]	+	deoCp2	[deoCp2 4,617,278]
udk-dcd	[udk-dcd 2,141,634 &larr; 2,142,948]	-		
yedA	[yedA 2,029,539 &rarr; 2,030,459]	+		
yncK	[yncK 1,503,218 &larr; 1,503,649]	-		
rybB	[rybB 887,979 &larr; 888,057]	-	rybBp	[rybBp 888,057]
nsrR-rnr-rlmB-yjfI	[nsrR-rnr-rlmB-yjfI 4,406,044 &rarr; 4,410,534]	+	nsrRp	[nsrRp 4,406,044]
yejLM	[yejLM 2,284,129 &rarr; 2,286,136]	+		
hepA	[hepA 60,358 &larr; 63,588]	-	rapAp2	[rapAp2 63,588]
glnHPQ	[glnHPQ 845,741 &larr; 848,047]	-	glnHp2	[glnHp2 848,047]
sgrST-setA	[sgrST-setA 77,313 &rarr; 78,799]	+	sgrSp	[sgrSp 77,367]
yhdP	[yhdP 3,392,458 &larr; 3,396,258]	-		
iraD	[iraD 4,556,574 &rarr; 4,557,385]	+	iraDp1	[iraDp1 4,556,576]
pck	[pck 3,532,539 &rarr; 3,534,440]	+	pckp	[pckp 3,532,679]
yjjB-dnaTC	[yjjB-dnaTC 4,600,139 &larr; 4,602,177]	-	yjjBp	[yjjBp 4,602,177]
sixA	[sixA 2,456,327 &larr; 2,456,999]	-	sixAp2	[sixAp2 2,456,999]
exuR	[exuR 3,246,618 &rarr; 3,247,428]	+	exuRp2	[exuRp2 3,246,618]
pheM	[pheM 1,799,161 &larr; 1,799,301]	-	pheMp	[pheMp 1,799,301]
gltIJKL-sroC	[gltIJKL-sroC 684,530 &larr; 687,896]	-	gltIp1	[gltIp1 687,896]
yfgF	[yfgF 2,626,695 &larr; 2,629,031]	-	yfgFp	[yfgFp 2,629,031]
acpH	[acpH 424,337 &larr; 424,918]	-		
yjfZ	[yjfZ 4,426,628 &larr; 4,427,422]	-		
otsBA	[otsBA 1,980,096 &larr; 1,982,442]	-	otsBp2	[otsBp2 1,982,442]
rsgA	[rsgA 4,390,457 &larr; 4,391,509]	-		
galET	[galET 789,840 &larr; 792,081]	-	galEp	[galEp 792,081]
cnu	[cnu 1,704,949 &rarr; 1,705,164]	+		
yciY	[yciY 1,308,788 &rarr; 1,308,961]	+		
satP	[satP 9,928 &larr; 10,494]	-		
proC	[proC 404,786 &larr; 405,686]	-	proCp	[proCp 405,686]
srlR	[srlR 2,828,860 &rarr; 2,829,820]	+	srlRp	[srlRp 2,828,860]
rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ	[rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ 3,442,618 &larr; 3,448,222]	-	rplNp	[rplNp 3,448,222]
yhcB	[yhcB 3,380,182 &rarr; 3,380,589]	+	yhcBp	[yhcBp 3,380,182]
ybhB	[ybhB 807,433 &larr; 807,909]	-		
creD	[creD 4,638,160 &rarr; 4,639,572]	+	creDp	[creDp 4,638,160]
ubiK	[ubiK 3,184,840 &rarr; 3,185,130]	+		
folA	[folA 49,799 &rarr; 50,302]	+	folAp	[folAp 49,799]
fecABCDE	[fecABCDE 4,510,690 &larr; 4,516,727]	-	fecAp	[fecAp 4,516,727]
cydAB	[cydAB 771,368 &rarr; 774,181]	+	cydAp5	[cydAp5 771,368]
nagC	[nagC 700,374 &larr; 702,008]	-	nagCp2	[nagCp2 702,008]
mobAB	[mobAB 4,040,906 &larr; 4,042,030]	-	mobAp1	[mobAp1 4,042,030]
topA	[topA 1,330,789 &rarr; 1,333,645]	+	topAp	[topAp 1,330,789]
trg	[trg 1,492,439 &rarr; 1,494,110]	+	trgp	[trgp 1,492,439]
ybcQ	[ybcQ 573,956 &rarr; 574,339]	+		
iraP	[iraP 401,319 &rarr; 401,646]	+	iraPp1	[iraPp1 401,319]
nrdAB-yfaE	[nrdAB-yfaE 2,344,432 &rarr; 2,348,768]	+	nrdAp	[nrdAp 2,344,755]
bioBFCD	[bioBFCD 809,281 &rarr; 812,947]	+	bioBp	[bioBp 809,302]
ttcA	[ttcA 1,411,013 &larr; 1,411,948]	-		
speB	[speB 3,082,877 &larr; 3,083,946]	-	speBp	[speBp 3,083,946]
yajC-secDF	[yajC-secDF 427,205 &rarr; 430,476]	+	yajCp	[yajCp 427,205]
yodC	[yodC 2,028,188 &larr; 2,028,370]	-		
eptA	[eptA 4,333,947 &larr; 4,335,590]	-		
ligA-ypeB	[ligA-ypeB 2,527,941 &larr; 2,530,201]	-	ligAp	[ligAp 2,530,201]
yhiL	[yhiL 3,632,852 &larr; 3,634,488]	-	yhiLp	[yhiLp NIL &larr; NIL]
glnAZLG	[glnAZLG 4,053,869 &larr; 4,058,107]	-	glnAp2	[glnAp2 4,058,107]
ada-alkB	[ada-alkB 2,308,691 &larr; 2,310,427]	-	adap2	[adap2 2,310,427]
holD-rimI-yjjG	[holD-rimI-yjjG 4,607,781 &rarr; 4,609,323]	+	holDp	[holDp 4,607,781]
tpiA	[tpiA 4,110,740 &larr; 4,111,524]	-	tpiAp1	[tpiAp1 4,111,524]
xapR	[xapR 2,521,334 &larr; 2,522,563]	-	xapRp2	[xapRp2 2,522,563]
rpoD	[rpoD 3,212,693 &rarr; 3,214,888]	+	rpoDp4	[rpoDp4 3,212,693]
secG	[secG 3,322,173 &larr; 3,322,505]	-		
yebV	[yebV 1,921,780 &rarr; 1,922,016]	+		
sfmHF	[sfmHF 562,336 &rarr; 563,845]	+		
insC6CD6D6	[insC6CD6D6 4,498,272 &rarr; 4,499,500]	+		
yhjV	[yhjV 3,700,563 &rarr; 3,701,834]	+		
glnLG	[glnLG 4,053,869 &larr; 4,056,371]	-	glnLp	[glnLp 4,056,371]
gmk	[gmk 3,821,388 &rarr; 3,822,051]	+	gmkp	[gmkp 3,821,388]
tktB	[tktB 2,579,308 &rarr; 2,581,639]	+	tktBp	[tktBp 2,579,308]
dnaQ	[dnaQ 236,067 &rarr; 236,798]	+		
yedK	[yedK 2,009,821 &rarr; 2,010,489]	+		
pptA	[pptA 1,533,052 &rarr; 1,533,285]	+		
dsrB	[dsrB 2,024,635 &larr; 2,024,823]	-		
lysQ	[lysQ 781,577 &rarr; 781,843]	+		
rayT	[rayT 247,637 &rarr; 248,134]	+		
gcvP	[gcvP 3,046,126 &larr; 3,049,071]	-	gcvPp	[gcvPp NIL &larr; NIL]
hicAB	[hicAB 1,509,221 &rarr; 1,509,924]	+	hicAp1	[hicAp1 1,509,221]
yfaXWVU	[yfaXWVU 2,358,042 &larr; 2,362,211]	-		
ypjC	[ypjC 2,784,529 &larr; 2,785,011]	-		
yfaATSQP	[yfaATSQP 2,327,367 &larr; 2,336,644]	-		
yraN	[yraN 3,295,394 &rarr; 3,295,789]	+		
esrE	[esrE 4,019,978 &rarr; 4,020,229]	+	esrEp	[esrEp 4,019,978]
yghW	[yghW 3,146,450 &larr; 3,146,737]	-		
leuO	[leuO 84,304 &rarr; 85,312]	+	leuOp2	[leuOp2 84,304]
ybaP	[ybaP 507,286 &larr; 508,080]	-		
purMN	[purMN 2,620,960 &rarr; 2,622,872]	+	purMp	[purMp 2,621,153]
ppk-ppx	[ppk-ppx 2,623,044 &rarr; 2,626,656]	+		
mcrA	[mcrA 1,210,346 &rarr; 1,211,179]	+		
agp	[agp 1,065,326 &rarr; 1,066,857]	+	agpp	[agpp 1,065,559]
glmZ	[glmZ 3,986,432 &rarr; 3,986,603]	+	glmZp	[glmZp 3,986,432]
pstB-phoU	[pstB-phoU 3,906,853 &larr; 3,908,447]	-	pstBp3	[pstBp3 3,908,447]
sibA	[sibA 2,153,311 &rarr; 2,153,454]	+	sibAp	[sibAp 2,153,311]
narU	[narU 1,542,672 &larr; 1,544,124]	-	narUp1	[narUp1 1,544,124]
yejG	[yejG 2,277,893 &larr; 2,278,277]	-	yejGp1	[yejGp1 2,278,277]
ytfJ	[ytfJ 4,438,708 &larr; 4,439,286]	-	ytfJp	[ytfJp 4,439,286]
ycaL	[ycaL 960,264 &rarr; 961,028]	+		
yjeM	[yjeM 4,383,839 &rarr; 4,385,341]	+		
araE	[araE 2,980,764 &larr; 2,982,208]	-	araEp	[araEp 2,982,208]
dmlA	[dmlA 1,881,912 &rarr; 1,882,997]	+		
micC	[micC 1,437,121 &rarr; 1,437,231]	+	micCp	[micCp 1,437,121]
yjbJ	[yjbJ 4,259,237 &rarr; 4,259,446]	+		
yjjI	[yjjI 4,615,515 &larr; 4,617,065]	-		
nlpI	[nlpI 3,308,040 &larr; 3,308,924]	-		
yoaE	[yoaE 1,900,029 &larr; 1,901,772]	-	yoaEp	[yoaEp 1,901,772]
ligB	[ligB 3,819,488 &larr; 3,821,170]	-		
pfkA	[pfkA 4,107,522 &rarr; 4,108,732]	+	pfkAp3	[pfkAp3 4,107,522]
yagP	[yagP 297,381 &larr; 297,791]	-		
envR	[envR 3,412,803 &larr; 3,413,465]	-		
lpxC	[lpxC 106,530 &rarr; 107,474]	+	lpxCp2	[lpxCp2 106,530]
aspV	[aspV 236,837 &rarr; 237,067]	+	aspVp	[aspVp 236,913]
mgsA	[mgsA 1,026,557 &larr; 1,027,041]	-	mgsAp	[mgsAp 1,027,041]
yiiE	[yiiE 4,079,291 &rarr; 4,079,509]	+		
yjbEFGH	[yjbEFGH 4,235,649 &rarr; 4,239,730]	+	yjbEp1	[yjbEp1 4,235,858]
alr	[alr 4,265,589 &rarr; 4,266,861]	+	alrp1	[alrp1 4,265,589]
ydaL	[ydaL 1,405,979 &rarr; 1,406,542]	+		
ypeC	[ypeC 2,511,001 &rarr; 2,511,327]	+		
fetAB	[fetAB 515,903 &rarr; 517,362]	+	fetAp	[fetAp 515,903]
csgA	[csgA 1,104,236 &rarr; 1,104,902]	+	csgAp	[csgAp 1,104,236]
pcnB-folK	[pcnB-folK 157,253 &larr; 159,171]	-	pcnBp3	[pcnBp3 159,171]
ygbI	[ygbI 2,860,467 &larr; 2,861,234]	-		
adhP	[adhP 1,552,828 &larr; 1,553,838]	-		
mreB	[mreB 3,400,005 &larr; 3,401,193]	-	mreBp2	[mreBp2 3,401,193]
ftnB	[ftnB 1,986,775 &rarr; 1,987,428]	+	ftnBp1	[ftnBp1 1,986,775]
argF-xynR	[argF-xynR 288,404 &larr; 290,305]	-		
glnS	[glnS 706,060 &rarr; 707,978]	+	glnSp1	[glnSp1 706,060]
yfbK	[yfbK 2,383,995 &larr; 2,385,722]	-		
azuCR	[azuCR 1,987,843 &larr; 1,988,001]	-	azuCp	[azuCp 1,988,001]
hemF	[hemF 2,553,205 &rarr; 2,554,124]	+	hemFp1	[hemFp1 2,553,205]
ulaABCDEF	[ulaABCDEF 4,419,866 &rarr; 4,424,386]	+	ulaAp	[ulaAp 4,419,927]
eno	[eno 2,906,643 &larr; 2,908,674]	-	enop1	[enop1 2,908,674]
yfiF	[yfiF 2,717,491 &larr; 2,718,528]	-		
yicL	[yicL 3,838,248 &rarr; 3,839,171]	+		
bhsA	[bhsA 1,169,019 &rarr; 1,169,330]	+	bhsAp9	[bhsAp9 1,169,019]
gspAB	[gspAB 3,453,508 &larr; 3,455,510]	-	gspAp2	[gspAp2 3,455,510]
ybjK	[ybjK 887,423 &rarr; 887,959]	+		
torR	[torR 1,057,262 &larr; 1,057,984]	-	torRp	[torRp 1,057,984]
ivbL-ilvBN	[ivbL-ilvBN 3,850,746 &larr; 3,853,023]	-	ivbLp	[ivbLp 3,853,023]
glyW-cysT-leuZ	[glyW-cysT-leuZ 1,991,745 &larr; 1,992,180]	-	glyWp	[glyWp 1,992,180]
lpxL	[lpxL 1,115,662 &larr; 1,116,709]	-	lpxLp	[lpxLp 1,116,709]
csrA	[csrA 2,818,961 &larr; 2,819,373]	-	csrAp1	[csrAp1 2,819,373]
ygfTS	[ygfTS 3,028,524 &larr; 3,030,931]	-		
rpsU-dnaG-rpoD	[rpsU-dnaG-rpoD 3,210,735 &rarr; 3,214,962]	+	rpsUp3	[rpsUp3 3,210,735]
menBCE	[menBCE 2,373,648 &larr; 2,376,819]	-		
ygiN	[ygiN 3,173,142 &rarr; 3,173,456]	+		
cycA	[cycA 4,429,780 &rarr; 4,431,276]	+	cycAp	[cycAp 4,429,780]
insC1CD1D1	[insC1CD1D1 381,351 &rarr; 382,579]	+		
katE	[katE 1,813,814 &rarr; 1,816,282]	+	katEp	[katEp 1,813,814]
dcuA	[dcuA 4,365,472 &larr; 4,366,843]	-	dcuAp1	[dcuAp1 4,366,843]
csrC	[csrC 4,051,036 &rarr; 4,051,281]	+	csrCp	[csrCp 4,051,036]
dsbC	[dsbC 3,038,112 &larr; 3,038,834]	-	dsbCp	[dsbCp 3,038,834]
prlC-yhiQ	[prlC-yhiQ 3,642,380 &larr; 3,645,238]	-	prlCp	[prlCp 3,645,238]
yeeED	[yeeED 2,084,226 &larr; 2,085,552]	-	yeeEp	[yeeEp 2,085,552]
ytjC	[ytjC 4,633,797 &rarr; 4,634,444]	+		
murQP	[murQP 2,545,733 &rarr; 2,548,097]	+	murQp1	[murQp1 2,545,733]
ybgC-tolQRA	[ybgC-tolQRA 774,752 &rarr; 777,607]	+		
xerD-dsbC-recJ	[xerD-dsbC-recJ 3,036,373 &larr; 3,039,851]	-	xerDp	[xerDp 3,039,851]
gpmA	[gpmA 786,843 &larr; 787,632]	-	gpmAp	[gpmAp 787,632]
ygcRQ	[ygcRQ 2,894,919 &larr; 2,896,555]	-		
patZ	[patZ 2,719,931 &rarr; 2,722,613]	+	pkap	[pkap 2,719,931]
ykfBF-yafX-ykfGH-yafW-ykfI	[ykfBF-yafX-ykfGH-yafW-ykfI 263,328 &larr; 266,158]	-	ykfBp1	[ykfBp1 266,158]
rseD-rpoE-rseABC	[rseD-rpoE-rseABC 2,707,322 &larr; 2,710,339]	-	rseDp2	[rseDp2 2,710,339]
rplT-pheM	[rplT-pheM 1,799,161 &larr; 1,799,763]	-	rplTp	[rplTp 1,799,763]
mdtABCD-baeSR	[mdtABCD-baeSR 2,153,850 &rarr; 2,164,998]	+	mdtAp	[mdtAp 2,153,979]
rrsC-gltU-rrlC-rrfC	[rrsC-gltU-rrlC-rrfC 3,941,395 &rarr; 3,947,067]	+	rrsCp1	[rrsCp1 3,941,516]
tam	[tam 1,607,221 &rarr; 1,608,104]	+	tamp	[tamp 1,607,221]
baeSR	[baeSR 2,162,876 &rarr; 2,164,998]	+		
pyrG-eno	[pyrG-eno 2,906,643 &larr; 2,909,717]	-	pyrGp2	[pyrGp2 2,909,717]
uxaB	[uxaB 1,609,229 &larr; 1,610,720]	-	uxaBp	[uxaBp 1,610,720]
cspI	[cspI 1,638,455 &larr; 1,638,812]	-	cspIp1	[cspIp1 1,638,812]
menA-rraA	[menA-rraA 4,118,845 &larr; 4,120,398]	-	menAp1	[menAp1 4,120,398]
yoaH	[yoaH 1,894,552 &larr; 1,894,731]	-		
yibG	[yibG 3,768,177 &rarr; 3,768,638]	+		
gcd	[gcd 138,801 &larr; 141,263]	-	gcdp1	[gcdp1 141,263]
tsaD	[tsaD 3,209,530 &larr; 3,210,543]	-		
chaA	[chaA 1,270,749 &larr; 1,271,849]	-		
rpoS	[rpoS 2,866,559 &larr; 2,867,724]	-	rpoSp4	[rpoSp4 2,867,724]
garPLRK-rnpB	[garPLRK-rnpB 3,269,959 &larr; 3,274,934]	-	garPp	[garPp 3,274,934]
tisB	[tisB 3,853,309 &rarr; 3,853,689]	+	tisBp	[tisBp 3,853,337]
msrB	[msrB 1,862,016 &larr; 1,862,464]	-	msrBp6	[msrBp6 1,862,464]
scpA-argK-scpBC	[scpA-argK-scpBC 3,060,850 &rarr; 3,066,280]	+		
exbBD	[exbBD 3,150,552 &larr; 3,152,014]	-	exbBp	[exbBp 3,152,014]
nudC-hemE-nfi	[nudC-hemE-nfi 4,196,903 &rarr; 4,199,461]	+		
ppiD	[ppiD 461,838 &rarr; 463,786]	+	ppiDp1	[ppiDp1 461,838]
treR	[treR 4,466,284 &larr; 4,467,275]	-	treRp2	[treRp2 4,467,275]
yjjJ	[yjjJ 4,621,769 &rarr; 4,623,100]	+		
ygdR	[ygdR 2,971,271 &rarr; 2,971,489]	+		
cfa	[cfa 1,741,379 &rarr; 1,742,561]	+	cfap2	[cfap2 1,741,379]
yhdU	[yhdU 3,412,621 &rarr; 3,412,800]	+		
trmA	[trmA 4,162,137 &larr; 4,163,295]	-	trmAp	[trmAp 4,163,295]
ychS	[ychS 1,286,709 &rarr; 1,286,984]	+		
psuT	[psuT 2,256,085 &larr; 2,257,335]	-		
bfd-bfr	[bfd-bfr 3,466,249 &larr; 3,466,991]	-		
hemCDXY	[hemCDXY 3,986,686 &larr; 3,990,766]	-		
fur	[fur 710,118 &larr; 710,723]	-	furpb	[furpb 710,723]
bssS	[bssS 1,120,701 &larr; 1,121,032]	-	bssSp2	[bssSp2 1,121,032]
infA	[infA 926,162 &larr; 926,479]	-	infAp2	[infAp2 926,479]
hemA-prfA-prmC	[hemA-prfA-prmC 1,263,651 &rarr; 1,266,927]	+	hemAp1	[hemAp1 1,263,676]
hprRS	[hprRS 2,036,794 &larr; 2,038,823]	-		
cvpA-purF-ubiX	[cvpA-purF-ubiX 2,428,030 &larr; 2,430,770]	-	cvpAp2	[cvpAp2 2,430,770]
nagE	[nagE 703,715 &rarr; 705,965]	+	nagEp	[nagEp 703,840]
mntP	[mntP 1,905,459 &rarr; 1,906,254]	+	mntPp	[mntPp 1,905,459]
mlaFEDCB	[mlaFEDCB 3,336,963 &larr; 3,340,132]	-	mlaFp1	[mlaFp1 3,340,132]
rhaSR	[rhaSR 4,097,599 &rarr; 4,099,494]	+	rhaSp2	[rhaSp2 4,097,711]
yeeY	[yeeY 2,087,329 &larr; 2,088,258]	-		
hda	[hda 2,618,075 &larr; 2,618,806]	-	hdap	[hdap NIL &larr; NIL]
yecF	[yecF 1,995,717 &rarr; 1,996,088]	+	yecFp	[yecFp 1,995,717]
essQ-ydfR-rrrQ-rzpQ	[essQ-ydfR-rrrQ-rzpQ 1,639,030 &larr; 1,640,585]	-		
dinQ	[dinQ 3,647,652 &larr; 3,647,982]	-	dinQp	[dinQp 3,647,982]
ynfN	[ynfN 1,637,954 &larr; 1,638,109]	-		
