Transcription-Units	Sequence - coordinates of DNA region	Direction	Transcription units - promoter of operon	Sequence - coordinates of DNA region of promoter	Genes of transcription unit
ycaM	[ycaM 947,229 &rarr; 948,659]	+			ycaM
rlmD	[rlmD 2,913,699 &larr; 2,915,043]	-	rlmDp	[rlmDp 2,915,043]	rlmD
yneJ	[yneJ 1,614,804 &rarr; 1,615,685]	+			ptrR
rcsB	[rcsB 2,315,695 &rarr; 2,316,827]	+	rcsBp1	[rcsBp1 2,315,695]	rcsB
napFDAGHBC-ccmABCDEFGH	[napFDAGHBC-ccmABCDEFGH 2,291,358 &larr; 2,303,574]	-	napFp1	[napFp1 2,303,574]	ccmH // ccmG // ccmF // ccmE // ccmD // ccmC // ccmB // ccmA // napC // napB // napH // napG // napA // napD // napF
fucPIKUR	[fucPIKUR 2,934,038 &rarr; 2,940,099]	+	fucPp	[fucPp 2,934,119]	fucP // fucI // fucK // fucU // fucR
pykF	[pykF 1,755,467 &rarr; 1,757,110]	+	pykFp	[pykFp 1,755,467]	pykF
hipBA	[hipBA 1,590,854 &larr; 1,592,482]	-	hipBp	[hipBp 1,592,482]	hipA // hipB
yjcB	[yjcB 4,274,760 &larr; 4,275,164]	-	yjcBp	[yjcBp 4,275,164]	yjcB
slyX	[slyX 3,477,640 &rarr; 3,477,858]	+			slyX
fadE	[fadE 240,859 &larr; 243,406]	-	fadEp	[fadEp 243,406]	fadE
rcnB	[rcnB 2,186,960 &rarr; 2,187,298]	+			rcnB
CsiR	[CsiR 2,795,674 &rarr; 2,796,336]	+			glaR
xthA	[xthA 1,832,399 &rarr; 1,833,234]	+	xthAp	[xthAp 1,832,399]	xthA
xylE	[xylE 4,240,734 &larr; 4,242,291]	-	xylEp	[xylEp 4,242,291]	xylE
exuT	[exuT 3,245,043 &rarr; 3,246,522]	+	exuTp1	[exuTp1 3,245,043]	exuT
sfmAC	[sfmAC 558,212 &rarr; 559,666]	+			sfmC // sfmA
hflD-purB	[hflD-purB 1,190,616 &larr; 1,192,686]	-	hflDp	[hflDp 1,192,686]	purB // hflD
insA2B2AB2-afuBC	[insA2B2AB2-afuBC 277,756 &larr; 279,875]	-			insA2 // insB2 // insAB2 // afuB // afuC
cyaR	[cyaR 2,167,114 &rarr; 2,167,200]	+	cyaRp3	[cyaRp3 2,167,114]	cyaR
ugpBAECQ	[ugpBAECQ 3,587,370 &larr; 3,592,378]	-	ugpBp1	[ugpBp1 3,592,378]	ugpQ // ugpC // ugpE // ugpA // ugpB
endA	[endA 3,090,275 &rarr; 3,091,123]	+	endAp2	[endAp2 3,090,275]	endA
fimB	[fimB 4,540,667 &rarr; 4,541,559]	+	fimBp2	[fimBp2 4,540,667]	fimB
yccM	[yccM 1,052,289 &larr; 1,053,362]	-			yccM
avtA	[avtA 3,739,674 &rarr; 3,740,958]	+	avtAp	[avtAp 3,739,674]	avtA
iraM	[iraM 1,211,680 &larr; 1,212,090]	-	iraMp1	[iraMp1 1,212,090]	iraM
artPIQM	[artPIQM 900,695 &larr; 903,843]	-	artPp3	[artPp3 903,843]	artM // artQ // artI // artP
cysG	[cysG 3,497,793 &rarr; 3,499,201]	+	cysGp2	[cysGp2 3,497,793]	cysG
yhiS	[yhiS 3,651,291 &rarr; 3,653,713]	+			yhiS
tqsA	[tqsA 1,673,890 &rarr; 1,674,947]	+	tqsAp	[tqsAp 1,673,890]	tqsA
yfeO	[yfeO 2,509,630 &rarr; 2,510,886]	+			yfeO
ybfF	[ybfF 712,038 &larr; 712,802]	-			ybfF
aceK	[aceK 4,218,566 &rarr; 4,220,332]	+	aceKp	[aceKp NIL &rarr; NIL]	aceK
aroL-yaiA-aroM	[aroL-yaiA-aroM 406,235 &rarr; 408,105]	+	aroLp1	[aroLp1 406,280]	aroL // yaiA // aroM
arcA	[arcA 4,639,539 &larr; 4,640,681]	-	arcAp5	[arcAp5 4,640,681]	arcA
poxB-ltaE-ybjT	[poxB-ltaE-ybjT 906,852 &larr; 911,049]	-			poxB // ltaE // ybjT
mngAB	[mngAB 765,811 &rarr; 770,611]	+	mngAp	[mngAp 765,811]	mngB // mngA
rrsB-gltT-rrlB-rrfB	[rrsB-gltT-rrlB-rrfB 4,166,484 &rarr; 4,171,962]	+	rrsBp2	[rrsBp2 4,166,484]	rrfB // rrlB // gltT // rrsB
ycdT	[ycdT 1,092,841 &rarr; 1,094,234]	+	ycdTp	[ycdTp 1,092,841]	dgcT
ybiU	[ybiU 857,796 &larr; 859,061]	-			ybiU
bluR	[bluR 1,213,328 &larr; 1,214,113]	-	bluRp	[bluRp 1,214,113]	bluR
cspB	[cspB 1,641,339 &larr; 1,641,715]	-	cspBp	[cspBp 1,641,715]	cspB
panBC	[panBC 147,944 &larr; 149,630]	-	panBp	[panBp 149,630]	panC // panB
ykfBF-yafX-ykfGH-yafW-ykfI	[ykfBF-yafX-ykfGH-yafW-ykfI 263,328 &larr; 266,227]	-	ykfBp2	[ykfBp2 266,227]	ykfI // yafW // ykfH // ykfG // yafX // ykfF // ykfB
ycgV	[ycgV 1,253,085 &larr; 1,255,952]	-			ycgV
patA	[patA 3,219,202 &rarr; 3,220,873]	+	patAp2	[patAp2 3,219,458]	patA
yafJ	[yafJ 244,327 &rarr; 245,094]	+			yafJ
peaD	[peaD 566,376 &rarr; 566,687]	+			peaD
dapA-nlpB	[dapA-nlpB 2,597,803 &larr; 2,599,784]	-	dapAp	[dapAp 2,599,784]	bamC // dapA
yjcE	[yjcE 4,279,980 &rarr; 4,281,629]	+			yjcE
yjdP	[yjdP 4,313,868 &rarr; 4,314,197]	+			yjdP
rhaM	[rhaM 4,093,124 &larr; 4,093,438]	-			rhaM
murQP	[murQP 2,545,733 &rarr; 2,548,097]	+	murQp	[murQp 2,545,733]	murP // murQ
sad	[sad 1,613,315 &larr; 1,614,703]	-			sad
ogt	[ogt 1,399,721 &larr; 1,400,284]	-	ogtp	[ogtp 1,400,284]	ogt
lgt-thyA	[lgt-thyA 2,964,320 &larr; 2,966,121]	-	lgtp	[lgtp 2,966,121]	thyA // lgt
galETKM	[galETKM 787,689 &larr; 792,081]	-	galEp1	[galEp1 792,081]	galM // galK // galT // galE
hypF	[hypF 2,835,173 &larr; 2,838,105]	-	hypFp3	[hypFp3 2,838,105]	hypF
leuO	[leuO 84,154 &rarr; 85,312]	+	leuOp1	[leuOp1 84,154]	leuO
glnHPQ	[glnHPQ 845,741 &larr; 848,198]	-	glnHp1	[glnHp1 848,198]	glnQ // glnP // glnH
cho	[cho 1,823,492 &rarr; 1,824,402]	+	chop	[chop 1,823,492]	cho
fryBC-ypdFE-fryA	[fryBC-ypdFE-fryA 2,501,990 &larr; 2,508,242]	-			fryB // fryC // ypdF // ypdE // fryA
pdxY	[pdxY 1,715,026 &larr; 1,715,919]	-	pdxYp	[pdxYp NIL &larr; NIL]	pdxY
mdh	[mdh 3,383,330 &larr; 3,384,470]	-	mdhp2	[mdhp2 3,384,470]	mdh
ybfL	[ybfL 736,900 &rarr; 737,961]	+			ybfL
ompX	[ompX 850,419 &rarr; 851,009]	+	ompXp2	[ompXp2 850,419]	ompX
eutHA	[eutHA 2,565,481 &larr; 2,568,107]	-			eutH // eutA
barA	[barA 2,915,057 &rarr; 2,917,813]	+			barA
ychJ	[ychJ 1,288,674 &larr; 1,289,132]	-			ychJ
yaeF	[yaeF 216,179 &larr; 217,003]	-			yaeF
lolA-rarA	[lolA-rarA 937,328 &rarr; 939,337]	+	lolAp	[lolAp 937,328]	rarA // lolA
nirBDC-cysG	[nirBDC-cysG 3,493,690 &rarr; 3,499,201]	+	nirBp	[nirBp 3,493,987]	nirB // nirD // nirC // cysG
hypF	[hypF 2,835,173 &larr; 2,837,455]	-	hypFp1	[hypFp1 NIL &larr; NIL]	hypF
rdlA	[rdlA 1,269,323 &rarr; 1,269,389]	+			rdlA
bcsABZC	[bcsABZC 3,685,700 &larr; 3,695,236]	-			bcsC // bcsZ // bcsB // bcsA
motRAB-cheAW	[motRAB-cheAW 1,972,771 &larr; 1,977,302]	-	motRp	[motRp 1,977,302]	motR // cheW // cheA // motB // motA
pgpC-tadA	[pgpC-tadA 2,697,354 &larr; 2,698,638]	-	pgpCp	[pgpCp 2,698,638]	pgpC // tadA
epmA	[epmA 4,382,618 &rarr; 4,383,620]	+	epmAp	[epmAp 4,382,618]	epmA
ansP	[ansP 1,524,481 &larr; 1,526,020]	-	ansPp2	[ansPp2 1,526,020]	ansP
rsd	[rsd 4,196,332 &larr; 4,196,954]	-	rsdp1	[rsdp1 4,196,954]	rsd
fadL	[fadL 2,461,013 &rarr; 2,462,646]	+	fadLp	[fadLp 2,461,205]	fadL
ssb	[ssb 4,273,938 &rarr; 4,274,661]	+	ssbp2	[ssbp2 4,274,080]	ssb
yfcUSRQPO	[yfcUSRQPO 2,449,228 &larr; 2,455,001]	-			yfcU // yfcS // yfcR // yfcQ // yfcP // yfcO
ydeO	[ydeO 1,582,926 &larr; 1,583,717]	-	ydeOp	[ydeOp NIL &larr; NIL]	ydeO
rsmC	[rsmC 4,606,669 &larr; 4,607,700]	-			rsmC
artPIQM	[artPIQM 900,695 &larr; 903,836]	-	artPp2	[artPp2 903,836]	artM // artQ // artI // artP
dgt	[dgt 179,196 &rarr; 180,754]	+	dgtp1	[dgtp1 179,196]	dgt
phoPQ	[phoPQ 1,188,316 &larr; 1,190,491]	-	phoPp3	[phoPp3 1,190,491]	phoQ // phoP
yniD	[yniD 1,805,165 &rarr; 1,805,272]	+			yniD
ybiB	[ybiB 835,248 &rarr; 836,210]	+			ybiB
ugpBAECQ	[ugpBAECQ 3,587,370 &larr; 3,592,426]	-	ugpBp2	[ugpBp2 3,592,426]	ugpQ // ugpC // ugpE // ugpA // ugpB
ybiI	[ybiI 838,190 &larr; 838,484]	-	ybiIp6	[ybiIp6 838,484]	ybiI
nadC	[nadC 117,752 &larr; 118,663]	-	nadCp	[nadCp 118,663]	nadC
casDE-ygbTF	[casDE-ygbTF 2,878,569 &larr; 2,881,078]	-	casDp	[casDp NIL &larr; NIL]	cas2 // cas1 // casE // casD
lolCDE	[lolCDE 1,175,427 &rarr; 1,178,564]	+			lolE // lolD // lolC
rpoZ-spoT-trmH-recG	[rpoZ-spoT-trmH-recG 3,822,077 &rarr; 3,827,291]	+	rpoZp	[rpoZp 3,822,077]	rpoZ // spoT // trmH // recG
aphA	[aphA 4,269,414 &rarr; 4,270,127]	+			aphA
ynjH	[ynjH 1,841,863 &larr; 1,842,188]	-	ynjHp2	[ynjHp2 1,842,188]	ynjH
sstT	[sstT 3,239,863 &rarr; 3,241,188]	+	sstTp	[sstTp 3,239,863]	sstT
tktA	[tktA 3,079,644 &larr; 3,081,707]	-	tktAp	[tktAp 3,081,707]	tktA
yfgHI	[yfgHI 2,629,792 &rarr; 2,630,865]	+			yfgI // yfgH
mrr	[mrr 4,586,949 &rarr; 4,587,863]	+			mrr
yrdD-rimN-aroE-yrdB	[yrdD-rimN-aroE-yrdB 3,429,766 &larr; 3,431,962]	-			yrdB // aroE // tsaC // yrdD
accA	[accA 208,411 &rarr; 209,580]	+	accAp1	[accAp1 208,411]	accA
ybdH	[ybdH 632,389 &larr; 633,477]	-			hcxA
fabI	[fabI 1,350,251 &larr; 1,351,118]	-	fabIp1	[fabIp1 1,351,118]	fabI
rmuC	[rmuC 4,017,333 &rarr; 4,018,760]	+			rmuC
gntT	[gntT 3,546,333 &rarr; 3,547,875]	+	gntTp1	[gntTp1 3,546,405]	gntT
yfiRN	[yfiRN 2,741,875 &rarr; 2,743,609]	+			dgcN // yfiR
gspCDEFGHIJKLMO	[gspCDEFGHIJKLMO 3,455,527 &rarr; 3,466,220]	+	gspCp2	[gspCp2 3,455,527]	gspO // gspM // gspL // gspK // gspJ // gspI // gspH // gspG // gspF // gspE // gspD // gspC
dnaKJ	[dnaKJ 12,048 &rarr; 15,298]	+	dnaKp1	[dnaKp1 12,048]	tpke11 // dnaK // dnaJ
rpsO	[rpsO 3,311,372 &larr; 3,311,786]	-	rpsOp	[rpsOp 3,311,786]	rpsO
omrB	[omrB 2,976,304 &larr; 2,976,385]	-	omrBp	[omrBp 2,976,385]	omrB
ygiM	[ygiM 3,201,104 &rarr; 3,201,827]	+	ygiMp1	[ygiMp1 3,201,104]	ygiM
ydeM	[ydeM 1,579,633 &larr; 1,580,790]	-			ydeM
mlaA	[mlaA 2,464,252 &larr; 2,465,135]	-	mlaAp	[mlaAp 2,465,135]	mlaA
ynfEFGH-dmsD	[ynfEFGH-dmsD 1,657,962 &rarr; 1,665,120]	+	ynfEp	[ynfEp 1,658,003]	dmsD // ynfH // ynfG // ynfF // ynfE
sixA	[sixA 2,456,327 &larr; 2,456,999]	-	sixAp2	[sixAp2 2,456,999]	sixA
pepT	[pepT 1,185,823 &rarr; 1,187,070]	+	pepTp	[pepTp 1,185,823]	pepT
ackA	[ackA 2,413,459 &rarr; 2,414,672]	+	ackAp	[ackAp 2,413,459]	ackA
pfkA	[pfkA 4,107,522 &rarr; 4,108,732]	+	pfkAp1	[pfkAp1 4,107,522]	pfkA
yqfE	[yqfE 3,059,381 &larr; 3,059,611]	-			yqfE
ypjC	[ypjC 2,784,529 &larr; 2,785,011]	-			ypjC
insH3	[insH3 687,997 &larr; 688,977]	-			insH3
rpiB	[rpiB 4,313,257 &rarr; 4,313,827]	+	rpiBp	[rpiBp 4,313,257]	rpiB
sdiA	[sdiA 1,996,110 &larr; 1,996,917]	-	sdiAp1	[sdiAp1 1,996,917]	sdiA
garPLRK-rnpB	[garPLRK-rnpB 3,269,959 &larr; 3,274,934]	-	garPp	[garPp 3,274,934]	rnpB // garK // garR // garL // garP
tisB	[tisB 3,853,309 &rarr; 3,853,689]	+	tisBp	[tisBp 3,853,337]	tisB
shiA	[shiA 2,053,566 &rarr; 2,054,959]	+	shiAp	[shiAp 2,053,566]	shiA
yafV	[yafV 239,419 &larr; 240,216]	-	yafVp	[yafVp 240,216]	yafV
adhE	[adhE 1,295,446 &larr; 1,298,413]	-	adhEp	[adhEp 1,298,413]	adhE
valUXY-lysV	[valUXY-lysV 2,520,924 &rarr; 2,521,519]	+	valUp	[valUp 2,520,924]	valU // valX // valY // lysV
yjbJ	[yjbJ 4,259,237 &rarr; 4,259,446]	+			yjbJ
rutR	[rutR 1,074,134 &rarr; 1,074,880]	+	rutRp1	[rutRp1 1,074,134]	rutR
mreBCD	[mreBCD 3,398,387 &larr; 3,401,356]	-	mreBp3	[mreBp3 3,401,356]	mreD // mreC // mreB
trg	[trg 1,492,439 &rarr; 1,494,110]	+	trgp	[trgp 1,492,439]	trg
tsr	[tsr 4,591,403 &rarr; 4,593,312]	+	tsrp1	[tsrp1 4,591,412]	tsr
glf-rfc	[glf-rfc 2,106,060 &larr; 2,108,329]	-			wbbH // glf
creD	[creD 4,638,160 &rarr; 4,639,572]	+	creDp	[creDp 4,638,160]	creD
rimL	[rimL 1,498,743 &rarr; 1,499,477]	+	rimLp	[rimLp 1,498,743]	rimL
yjjI	[yjjI 4,615,515 &larr; 4,617,065]	-			yjjI
ychN	[ychN 1,273,246 &larr; 1,273,599]	-			ychN
rlmL-uup	[rlmL-uup 1,007,672 &rarr; 1,011,871]	+	rlmLp	[rlmLp 1,007,672]	rlmL // uup
gltBDF	[gltBDF 3,354,157 &rarr; 3,361,940]	+	gltBp	[gltBp 3,354,509]	gltB // gltD // gltF
sgrST-setA	[sgrST-setA 77,313 &rarr; 78,799]	+	sgrSp	[sgrSp 77,367]	sgrT // setA // sgrS
insC6CD6D6	[insC6CD6D6 4,498,272 &rarr; 4,499,500]	+			insD6 // insC6 // insCD6
yeiP	[yeiP 2,265,417 &rarr; 2,266,022]	+	yeiPp	[yeiPp 2,265,417]	yeiP
glnLG	[glnLG 4,053,869 &larr; 4,056,371]	-	glnLp	[glnLp 4,056,371]	glnG // glnL
mhpR-lacI	[mhpR-lacI 366,428 &larr; 368,528]	-	mhpRp2	[mhpRp2 368,528]	lacI // mhpR
glnB	[glnB 2,687,070 &larr; 2,687,526]	-	glnBp3	[glnBp3 2,687,526]	glnB
kdpDE	[kdpDE 721,056 &larr; 724,414]	-			kdpE // kdpD
yieG	[yieG 3,895,272 &larr; 3,896,609]	-			adeP
yjbEFGH	[yjbEFGH 4,235,649 &rarr; 4,239,730]	+	yjbEp1	[yjbEp1 4,235,858]	yjbH // yjbG // yjbF // yjbE
rybB	[rybB 887,979 &larr; 888,057]	-	rybBp	[rybBp 888,057]	rybB
chiQ	[chiQ 709,790 &rarr; 710,116]	+			chiQ
ulaABCDEF	[ulaABCDEF 4,419,866 &rarr; 4,424,386]	+	ulaAp	[ulaAp 4,419,927]	ulaF // ulaE // ulaD // ulaC // ulaB // ulaA
murQP	[murQP 2,545,733 &rarr; 2,548,097]	+	murQp1	[murQp1 2,545,733]	murP // murQ
btuE	[btuE 1,793,558 &larr; 1,794,124]	-	btuEp1	[btuEp1 1,794,124]	btuE
anmK	[anmK 1,718,493 &larr; 1,719,602]	-			anmK
rplL	[rplL 4,180,530 &rarr; 4,180,925]	+	rplLp	[rplLp NIL &rarr; NIL]	rplL
yodD	[yodD 2,024,986 &rarr; 2,025,213]	+			yodD
imp	[imp 54,755 &larr; 57,156]	-	impp1	[impp1 57,156]	lptD
adhP	[adhP 1,552,828 &larr; 1,553,838]	-			adhP
yifN	[yifN 3,960,012 &larr; 3,960,460]	-			yifN
pspE	[pspE 1,369,659 &rarr; 1,370,003]	+	pspEp	[pspEp NIL &rarr; NIL]	pspE
puuCBE	[puuCBE 1,362,728 &rarr; 1,366,815]	+	puuCp	[puuCp 1,362,728]	puuE // puuB // puuC
fliFGHIJK	[fliFGHIJK 2,013,091 &rarr; 2,019,513]	+	fliFp1	[fliFp1 2,013,146]	fliK // fliJ // fliI // fliH // fliG // fliF
ppiA	[ppiA 3,491,725 &larr; 3,492,449]	-	ppiAp4	[ppiAp4 3,492,449]	ppiA
ybjM	[ybjM 890,089 &rarr; 890,466]	+			ybjM
ptsHI-crr	[ptsHI-crr 2,533,552 &rarr; 2,536,380]	+	ptsHp2	[ptsHp2 2,533,601]	ptsH // ptsI // crr
glgS	[glgS 3,191,716 &larr; 3,192,002]	-	glgSp2	[glgSp2 3,192,002]	glgS
rihA	[rihA 683,477 &larr; 684,412]	-			rihA
aldA	[aldA 1,488,033 &rarr; 1,489,671]	+	aldAp	[aldAp 1,488,190]	aldA
hscC	[hscC 681,723 &larr; 683,393]	-			hscC
rpoD	[rpoD 3,212,693 &rarr; 3,214,888]	+	rpoDp4	[rpoDp4 3,212,693]	rpoD
argF-xynR	[argF-xynR 288,404 &larr; 290,305]	-			xynR // argF
nrdAB-yfaE	[nrdAB-yfaE 2,344,432 &rarr; 2,348,768]	+	nrdAp	[nrdAp 2,344,755]	yfaE // nrdA // nrdB
rayT	[rayT 247,637 &rarr; 248,134]	+			rayT
ftsP	[ftsP 3,161,257 &larr; 3,162,669]	-			ftsP
bssS	[bssS 1,120,701 &larr; 1,121,032]	-	bssSp2	[bssSp2 1,121,032]	bssS
dsrB	[dsrB 2,024,635 &larr; 2,024,823]	-			dsrB
icdC	[icdC 1,211,413 &rarr; 1,211,577]	+			icdC
glnAZLG	[glnAZLG 4,053,869 &larr; 4,058,107]	-	glnAp2	[glnAp2 4,058,107]	glnZ // glnG // glnL // glnA
yjjJ	[yjjJ 4,621,769 &rarr; 4,623,100]	+			hipH
lysQ	[lysQ 781,577 &rarr; 781,843]	+			lysQ
gapA	[gapA 1,862,247 &rarr; 1,863,766]	+	gapAp6	[gapAp6 1,862,247]	gapA
yebV	[yebV 1,921,780 &rarr; 1,922,016]	+			yebV
ygeLK	[ygeLK 2,994,460 &larr; 2,995,092]	-			ygeL // ygeK
yghQ	[yghQ 3,131,341 &larr; 3,132,408]	-			yghQ
yddG	[yddG 1,546,288 &larr; 1,547,205]	-	yddGp	[yddGp 1,547,205]	yddG
yfaL	[yfaL 2,340,417 &larr; 2,344,169]	-			yfaL
ydcL	[ydcL 1,502,457 &rarr; 1,503,125]	+			ydcL
fetAB	[fetAB 515,903 &rarr; 517,362]	+	fetAp	[fetAp 515,903]	fetB // fetA
ybhJ	[ybhJ 803,503 &rarr; 805,764]	+			ybhJ
ydaSTUVW-rzpR	[ydaSTUVW-rzpR 1,420,365 &rarr; 1,423,644]	+			rzpR // ydaW // ydaV // ydaU // ydaT // ydaS
pheP	[pheP 601,929 &rarr; 603,409]	+	phePp	[phePp 601,929]	pheP
yjaA	[yjaA 4,213,234 &rarr; 4,213,617]	+			yjaA
yncI	[yncI 1,530,586 &rarr; 1,531,639]	+			yncI
yjfZ	[yjfZ 4,426,628 &larr; 4,427,422]	-			yjfZ
yhcB	[yhcB 3,380,182 &rarr; 3,380,589]	+	yhcBp	[yhcBp 3,380,182]	zapG
torT	[torT 1,056,261 &rarr; 1,057,289]	+			torT
asnS	[asnS 987,392 &larr; 989,044]	-	asnSp	[asnSp 989,044]	asnS
holD-rimI-yjjG	[holD-rimI-yjjG 4,607,781 &rarr; 4,609,323]	+	holDp	[holDp 4,607,781]	yjjG // rimI // holD
tamAB-ytfP	[tamAB-ytfP 4,442,382 &rarr; 4,448,235]	+			ytfP // tamB // tamA
pitB	[pitB 3,134,872 &larr; 3,136,403]	-	pitBp	[pitBp 3,136,403]	pitB
bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE	[bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE 197,026 &rarr; 208,608]	+	bamAp2	[bamAp2 197,026]	dnaE // rnhB // lpxB // lpxA // fabZ // lpxD // skp // bamA
pyrG-eno	[pyrG-eno 2,906,643 &larr; 2,909,717]	-	pyrGp2	[pyrGp2 2,909,717]	eno // pyrG
yhdP	[yhdP 3,392,458 &larr; 3,396,258]	-			yhdP
yecF	[yecF 1,995,717 &rarr; 1,996,088]	+	yecFp	[yecFp 1,995,717]	yecF
bepA-yfgD	[bepA-yfgD 2,616,068 &rarr; 2,617,937]	+	bepAp1	[bepAp1 2,616,068]	yfgD // bepA
ypeC	[ypeC 2,511,001 &rarr; 2,511,327]	+			ypeC
ygdR	[ygdR 2,971,271 &rarr; 2,971,489]	+			ygdR
yoaE	[yoaE 1,900,029 &larr; 1,901,772]	-	yoaEp	[yoaEp 1,901,772]	yoaE
ydgA	[ydgA 1,689,794 &rarr; 1,691,360]	+	ydgAp	[ydgAp 1,689,794]	ydgA
entS	[entS 622,214 &rarr; 623,550]	+	entSp1	[entSp1 622,258]	entS
galE	[galE 790,312 &larr; 792,081]	-	galEp1	[galEp1 792,081]	galE
ubiK	[ubiK 3,184,840 &rarr; 3,185,130]	+			ubiK
lpxC	[lpxC 106,530 &rarr; 107,474]	+	lpxCp2	[lpxCp2 106,530]	lpxC
hisL	[hisL 2,089,965 &rarr; 2,090,140]	+	hisLp	[hisLp 2,089,965]	hisL
yfdF	[yfdF 2,463,012 &rarr; 2,464,070]	+			yfdF
dmlA	[dmlA 1,881,912 &rarr; 1,882,997]	+			dmlA
prlC-yhiQ	[prlC-yhiQ 3,642,380 &larr; 3,645,238]	-	prlCp	[prlCp 3,645,238]	prlC // rsmJ
ygcRQ	[ygcRQ 2,894,919 &larr; 2,896,555]	-			ygcR // ygcQ
lysC	[lysC 4,231,884 &larr; 4,233,616]	-	lysCp2	[lysCp2 4,233,616]	lysC
yahH	[yahH 339,769 &rarr; 340,089]	+			yahH
cnu	[cnu 1,704,949 &rarr; 1,705,164]	+			cnu
nlpI	[nlpI 3,308,040 &larr; 3,308,924]	-			nlpI
pptA	[pptA 1,533,052 &rarr; 1,533,285]	+			pptA
phoE	[phoE 259,045 &larr; 260,158]	-	phoEp	[phoEp 260,158]	phoE
ydjE	[ydjE 1,852,621 &larr; 1,853,979]	-			ydjE
orn	[orn 4,391,604 &rarr; 4,392,149]	+			orn
speB	[speB 3,082,877 &larr; 3,083,946]	-	speBp	[speBp 3,083,946]	speB
pcnB-folK	[pcnB-folK 157,253 &larr; 159,171]	-	pcnBp3	[pcnBp3 159,171]	folK // pcnB
gmk	[gmk 3,821,388 &rarr; 3,822,051]	+	gmkp	[gmkp 3,821,388]	gmk
yhcC	[yhcC 3,353,121 &larr; 3,354,050]	-			yhcC
mgsA	[mgsA 1,026,557 &larr; 1,027,041]	-	mgsAp	[mgsAp 1,027,041]	mgsA
ybdL	[ybdL 633,586 &rarr; 634,746]	+			ybdL
ivbL-ilvBN-uhpABC	[ivbL-ilvBN-uhpABC 3,847,305 &larr; 3,852,988]	-			uhpC // uhpB // uhpA // ilvN // ilvB // ivbL
tpiA	[tpiA 4,110,740 &larr; 4,111,524]	-	tpiAp1	[tpiAp1 4,111,524]	tpiA
scpA-argK-scpBC	[scpA-argK-scpBC 3,060,850 &rarr; 3,066,280]	+			scpC // scpB // argK // scpA
bssR	[bssR 878,248 &rarr; 878,631]	+			bssR
dadAX	[dadAX 1,237,457 &rarr; 1,239,949]	+	dadAp1	[dadAp1 1,237,509]	dadX // dadA
ftnB	[ftnB 1,986,775 &rarr; 1,987,428]	+	ftnBp1	[ftnBp1 1,986,775]	ftnB
ompG	[ompG 1,381,947 &rarr; 1,382,852]	+			ompG
yfaXWVU	[yfaXWVU 2,358,042 &larr; 2,362,211]	-			yfaU // yfaV // rhmD // yfaX
apaGH	[apaGH 50,380 &larr; 52,034]	-	apaGp	[apaGp 52,034]	apaH // apaG
nagE	[nagE 703,715 &rarr; 705,965]	+	nagEp	[nagEp 703,840]	nagE
pepE	[pepE 4,229,453 &larr; 4,230,142]	-			pepE
pinR	[pinR 1,433,084 &larr; 1,433,674]	-			pinR
glpR	[glpR 3,559,754 &larr; 3,560,756]	-	glpRp2	[glpRp2 3,560,756]	glpR
ynfEFGH-dmsD	[ynfEFGH-dmsD 1,657,962 &rarr; 1,665,120]	+	ynfEp2	[ynfEp2 1,658,003]	dmsD // ynfH // ynfG // ynfF // ynfE
lptAB	[lptAB 3,343,299 &rarr; 3,344,669]	+	lptAp2	[lptAp2 3,343,299]	lptB // lptA
rseD-rpoE-rseABC	[rseD-rpoE-rseABC 2,707,322 &larr; 2,710,230]	-	rseDp3	[rseDp3 2,710,230]	rseD // rseC // rseB // rseA // rpoE
leuO	[leuO 84,304 &rarr; 85,312]	+	leuOp2	[leuOp2 84,304]	leuO
mreB	[mreB 3,400,005 &larr; 3,401,193]	-	mreBp2	[mreBp2 3,401,193]	mreB
rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ	[rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ 3,442,618 &larr; 3,448,222]	-	rplNp	[rplNp 3,448,222]	rpmJ // secY // rplO // rpmD // rpsE // rplR // rplF // rpsH // rpsN // rplE // rplX // rplN
yffS	[yffS 2,564,523 &rarr; 2,565,332]	+			yffS
gcvP	[gcvP 3,046,126 &larr; 3,049,071]	-	gcvPp	[gcvPp NIL &larr; NIL]	gcvP
fecABCDE	[fecABCDE 4,510,690 &larr; 4,516,727]	-	fecAp	[fecAp 4,516,727]	fecE // fecD // fecC // fecB // fecA
ydaL	[ydaL 1,405,979 &rarr; 1,406,542]	+			smrA
aroH	[aroH 1,788,384 &rarr; 1,789,510]	+	aroHp2	[aroHp2 1,788,384]	aroH
osmC	[osmC 1,556,544 &rarr; 1,557,056]	+	osmCp1	[osmCp1 1,556,596]	osmC
nupC	[nupC 2,512,919 &rarr; 2,514,244]	+	nupCp	[nupCp 2,513,009]	nupC
ibsD	[ibsD 3,194,701 &rarr; 3,194,825]	+	ibsDp	[ibsDp 3,194,701]	ibsD
ada-alkB	[ada-alkB 2,308,691 &larr; 2,310,427]	-	adap	[adap 2,310,427]	alkB // ada
dsbC	[dsbC 3,038,112 &larr; 3,038,834]	-	dsbCp	[dsbCp 3,038,834]	dsbC
